职位名称,公司名称,工作城市,薪资范围,学历要求,公司类型,公司规模,职位类别,工作经验,福利待遇
区域销售经理（肿瘤基因检测）,普瑞基准科技(北京)有限公司,长沙,1万-2万,本科,股份制企业,100-299人,销售管理,3-5年,"14薪,绩效奖金,交通补助,通讯补助,带薪年假,定期体检,节日福利,弹性工作"
商务拓展经理（医疗方向）,三诺生物,长沙,8千-1.5万,本科,股份制企业,1000-9999人,销售业务,3-5年,"五险一金,年底双薪,带薪年假,免费班车,员工旅游,周末双休"
（长沙）KA大客户经理/战略合作经理/大客户经理,众能联合,长沙,1.5万-3万,本科,合资,1000-9999人,销售业务,3-5年,"五险一金,绩效奖金,通讯补助,餐补,节日福利,定期体检,带薪年假,年底双薪"
充电服务拓展,开迈斯新能源,长沙,7千-1.4万,本科,合资,100-299人,销售业务,3-5年,"五险一金,包吃,交通补助,餐补,通讯补助,带薪年假"
营销管理运营经理,中联重科,长沙,1万-1.5万,本科,合资,10000人以上,商超/酒店/娱乐管理/服务,3-5年,"五险一金,餐补,带薪年假,定期体检,绩效奖金,年底双薪,免费班车,周末双休"
销售经理,松下冷链(大连)有限公司,长沙,4千-8千,本科,合资,10000人以上,销售管理,3-5年,"五险一金,绩效奖金,交通补助,房补,定期体检,周末双休,通讯补助"
大客户经理（央企+五险一金+长沙）,狮桥融资租赁（中国）有限公司,长沙,8千-1万,本科,合资,1000-9999人,销售业务,3-5年,"五险一金,通讯补助,带薪年假,交通补助,绩效奖金,弹性工作,周末双休,公司重点项目"
反渗透膜区域经理,蓝星东丽膜科技(北京)有限公司,长沙,1万-1.5万,本科,合资,100-299人,销售业务,3-5年,"五险一金,交通补助,餐补,通讯补助,带薪年假,补充医疗保险,绩效奖金,定期体检"
业务经理-模架-长沙,宏信建发,长沙,1万-1.5万,本科,合资,1000-9999人,销售业务,3-5年,"五险一金,全额公积金,节日福利,餐补,试用期全额,带薪年假,通讯补助,绩效奖金"
渠道销售代表,英创安众,长沙,6千-9千,本科,合资,100-299人,销售业务,3-5年,"年底双薪,带薪年假,五险一金"
大客户经理,众能联合,长沙,2万-4万,本科,合资,1000-9999人,销售业务,3-5年,"五险一金,绩效奖金,通讯补助,餐补,节日福利,定期体检,带薪年假,车油补贴"
高级审计专员（营销方向）,中联重科,长沙,1万-1.5万,本科,合资,10000人以上,销售管理,3-5年,
海外销售经理,中联重科,长沙,8千-1.5万,本科,合资,10000人以上,销售管理,3-5年,"五险一金,包住,带薪年假,包吃,绩效奖金,股票期权,定期体检,免费班车"
在线教育销售主管（教育+销售管理+50人团队）,作业帮,长沙,2万-3万,本科,合资,10000人以上,销售管理,3-5年,"绩效奖金,七险一金,餐补,13薪,带薪年假,节日福利,带团队"
海外渠道管理专员,中联重科,长沙,7千-1.2万,本科,合资,10000人以上,销售业务,3-5年,"五险一金,全勤奖,交通补助,餐补,包住,带薪年假,周末双休,项目奖金"
营销代表,中联重科,长沙,1万-1.5万,本科,合资,10000人以上,销售管理,3-5年,"五险一金,餐补,定期体检,高温补贴,节日福利,带薪年假,免费班车,绩效奖金"
