职位名称,公司名称,工作城市,薪资范围,学历要求,公司类型,公司规模,职位类别,工作经验,福利待遇
分销经理,盐津铺子,长沙,1万-1.5万,本科,民营,1000-9999人,销售管理,3-5年,"五险一金,年底双薪,绩效奖金,全勤奖,带薪年假,节日福利"
销售经理（团购）,多喜爱家居用品有限公司,长沙,6千-1万,本科,民营,1000-9999人,销售业务,3-5年,"五险一金,包住,周末双休,免费停车,免费班车"
销售经理,长沙蛋壳教育科技有限公司,长沙,1万-1.5万,本科,民营,100-299人,销售管理,3-5年,"五险一金,全勤奖,带薪年假,员工旅游,节日福利,每年多次调薪,定期团建,带薪寒暑假"
团队总监,恒大金融财富管理(深圳)有限公司,长沙,8千-1万,本科,民营,500-999人,销售管理,3-5年,"五险一金,绩效奖金,餐补"
班主任管理,字节跳动,长沙,1.5万-3万,本科,民营,10000人以上,销售业务,3-5年,"五险一金,弹性工作"
客户销售工程师,湖南省汇川电子科技有限公司,长沙,6千-1.2万,本科,民营,20人以下,销售业务,3-5年,"周末双休,交通补助,通讯补助,五险一金,绩效奖金,餐补,包住,年底双薪"
线上渠道经理,俏皮羊生物科技有限公司,长沙,1万-1.5万,本科,民营,100-299人,销售管理,3-5年,"节日福利,员工旅游,带薪年假,五险,定期团建,房补,定期体检,绩效奖金"
大区经理,湖南海贽医疗科技有限公司,长沙,1.5万-2万,本科,民营,20-99人,销售管理,3-5年,"五险一金,绩效奖金,全勤奖,餐补,通讯补助,带薪年假,周末双休,节日福利"
销售主管,湖南时刻知道网络科技有限公司,长沙,8千-1.2万,本科,民营,20-99人,销售管理,3-5年,"五险一金,年底双薪,绩效奖金,交通补助,全勤奖,带薪年假"
财富经理,湖南蒲公英私募股权基金管理有限公司,长沙,6千-8千,本科,民营,20人以下,销售业务,3-5年,"创业公司,每年多次调薪,五险一金,绩效奖金,带薪年假"
外贸经理,北京环球宜选科技有限公司,长沙,8千-1.5万,本科,民营,100-299人,销售业务,3-5年,"五险一金,年底双薪,绩效奖金,带薪年假,交通补助,餐补"
大客户经理（医疗器械)-湖南省,北京吉因加,长沙,8千-1.5万,本科,民营,500-999人,销售业务,3-5年,"五险一金,年底双薪,绩效奖金,餐补,弹性工作,带薪年假,员工旅游,节日福利"
职业资格认证培训中心业务总监,大汉控股集团,长沙,1万-1.5万,本科,民营,1000-9999人,销售管理,3-5年,"五险一金,餐补,交通补助,通讯补助,带薪年假,定期体检,包吃,包住"
销售经理,北京京科优学教育科技有限公司,长沙,1万-1.5万,本科,民营,20-99人,销售业务,3-5年,"年终分红,公司重点项目,创业公司,绩效奖金,股票期权,五险一金"
外贸经理,北京环球宜选科技有限公司,长沙,8千-1.5万,本科,民营,100-299人,销售业务,3-5年,"五险一金,年底双薪,绩效奖金,带薪年假,交通补助,餐补"
招商运营总监,湖南星沙物流投资有限公司,长沙,1万-1.5万,本科,民营,20-99人,销售业务,3-5年,"绩效奖金,免费停车,弹性工作,餐补,包住,五险一金,年终分红,节日福利"
大客户经理,湖南常德牌水表制造有限公司,长沙,8千-1万,本科,民营,100-299人,销售业务,3-5年,"节日福利,年终分红,绩效奖金,弹性工作"
高级商务助理,汇誉国际工程咨询有限公司,长沙,8千-1.5万,本科,民营,20-99人,销售业务,3-5年,"五险一金,绩效奖金,全勤奖,餐补,通讯补助,节日福利,创业公司,项目奖金"
商用交互大屏行业经理（长沙）(002935),鸿合科技,长沙,8千-1.5万,本科,民营,1000-9999人,销售管理,3-5年,"五险一金,绩效奖金,餐补,通讯补助,带薪年假,定期体检,补充医疗保险,员工旅游"
电销副经理/经理,编程猫,长沙,1.2万-2万,本科,民营,1000-9999人,销售管理,3-5年,"五险一金,餐补,节日福利,带薪年假,弹性工作,大牛带队,定期团建"
录播销售,视源股份,长沙,1.2万-2万,本科,民营,1000-9999人,销售业务,3-5年,"五险一金,年底双薪,绩效奖金,股票期权,餐补,房补,定期体检,员工旅游"
大客户开发经理,湘江涂料科技有限公司,长沙,1万-1.5万,本科,民营,500-999人,销售业务,3-5年,"五险一金,绩效奖金,交通补助,餐补,带薪年假,高温补贴,周末双休,节日福利"
营销总监,湖南开卷文化传媒有限公司,长沙,6千-8千,本科,民营,20-99人,销售管理,3-5年,"绩效奖金,节日福利,五险一金,弹性工作,加班补助,周末双休,定期团建"
销售经理,长沙丰收办公用品经营有限公司,长沙,2万-3万,本科,民营,20-99人,销售管理,3-5年,
渠道部总监,湖南麓明暖通设备有限公司,长沙,1.5万-2万,本科,民营,20-99人,销售管理,3-5年,"餐补,交通补助,带薪年假,五险,公司重点项目"
2020大客户经理（长沙）(J12866),北森,长沙,1万-1.5万,本科,民营,1000-9999人,销售业务,3-5年,"餐补,弹性工作,补充医疗保险,定期体检,节日福利,周末双休,八险一金,包住"
业务管理岗,银泰证券,长沙,4千-8千,本科,民营,1000-9999人,销售管理,3-5年,"五险一金,绩效奖金,餐补,采暖补贴,员工旅游,定期体检,带薪年假,弹性工作"
销售支持经理,土流集团有限公司,长沙,5千-8千,本科,民营,100-299人,销售管理,3-5年,"五险一金,绩效奖金,加班补助,节日福利,带薪年假,定期体检,交通补助"
客户经理,湖南砺石科技有限公司,长沙,1.5万-2.5万,本科,民营,100-299人,销售管理,3-5年,"五险一金,年终分红,股票期权,交通补助,通讯补助,补充医疗保险,定期体检,周末双休"
大客户经理（医疗器械)-湖南省,北京吉因加,长沙,8千-1.5万,本科,民营,500-999人,销售业务,3-5年,"五险一金,年底双薪,绩效奖金,餐补,弹性工作,带薪年假,员工旅游,节日福利"
销售经理,北京京科优学教育科技有限公司,长沙,1万-1.5万,本科,民营,20-99人,销售业务,3-5年,"年终分红,公司重点项目,创业公司,绩效奖金,股票期权,五险一金"
职业资格认证培训中心业务总监,大汉控股集团,长沙,1万-1.5万,本科,民营,1000-9999人,销售管理,3-5年,"五险一金,餐补,交通补助,通讯补助,带薪年假,定期体检,包吃,包住"
健管公司副总经理,湖南枫溪谷产业控股集团有限公司,长沙,1.2万-1.8万,本科,民营,100-299人,销售管理,3-5年,"五险,大小休,节日福利,带薪年假,每年多次调薪,绩效奖金,公司重点项目,定期团建"
大客户经理,湖南常德牌水表制造有限公司,长沙,8千-1万,本科,民营,100-299人,销售业务,3-5年,"节日福利,年终分红,绩效奖金,弹性工作"
分销经理,盐津铺子,长沙,1万-1.5万,本科,民营,1000-9999人,销售管理,3-5年,"五险一金,年底双薪,绩效奖金,全勤奖,带薪年假,节日福利"
业务经理,长沙信力人力资源服务有限公司长沙县分公司,长沙,6千-8千,本科,民营,20-99人,销售管理,3-5年,"五险一金,年终奖,绩效,伙食补贴,节日福利,通讯补助,绩效奖金"
招商运营总监,湖南星沙物流投资有限公司,长沙,1万-1.5万,本科,民营,20-99人,销售业务,3-5年,"绩效奖金,免费停车,弹性工作,餐补,包住,五险一金,年终分红,节日福利"
高级商务助理,汇誉国际工程咨询有限公司,长沙,8千-1.5万,本科,民营,20-99人,销售业务,3-5年,"五险一金,绩效奖金,全勤奖,餐补,通讯补助,节日福利,创业公司,项目奖金"
商用交互大屏行业经理（长沙）(002935),鸿合科技,长沙,8千-1.5万,本科,民营,1000-9999人,销售管理,3-5年,"五险一金,绩效奖金,餐补,通讯补助,带薪年假,定期体检,补充医疗保险,员工旅游"
班主任管理（长沙）,字节跳动,长沙,1.5万-3万,本科,民营,10000人以上,销售业务,3-5年,"五险一金,弹性工作"
外贸业务员,世邦通信股份有限公司,长沙,5千-1万,本科,民营,300-499人,销售业务,3-5年,"五险一金,加班补助,包吃,包住,定期体检,员工旅游,节日福利"
销售代表,湖南长江石化环保科技有限公司,长沙,1万-1.5万,本科,民营,20-99人,销售业务,3-5年,"五险一金,绩效奖金,餐补,节日福利,弹性工作,项目奖金,周末双休"
销售主管+高额底薪+提成,湖南博翔新材料有限公司,长沙,6千-8千,本科,民营,100-299人,销售业务,3-5年,"包住,包吃,五险一金,节日福利,绩效奖金,周末双休,交通补助,销售提成"
营销总监,深圳市世纪恒程知识产权代理事务所,长沙,1.5万-2万,本科,民营,500-999人,销售管理,3-5年,"节日福利,周末双休,五险一金,全勤奖,员工旅游,定期体检,绩效奖金,带薪年假"
机器人销售经理,长沙万为机器人有限公司,长沙,6千-1万,本科,民营,20-99人,销售管理,3-5年,"五险一金,年底双薪,绩效奖金,加班补助,弹性工作,定期体检,定期团建"
商务经理,湖南弘毅天承知识产权有限公司,长沙,8千-1万,本科,民营,20-99人,销售管理,3-5年,"节日福利,周末双休,不加班,全勤奖"
外贸业务员,长沙爱格贸易有限公司,长沙,4千-6千,本科,民营,20-99人,销售业务,3-5年,"绩效奖金,年终分红,带薪年假,节日福利,周末双休"
4s店渠道销售经理（6-20k无责底薪+团队提成+五险一金）,上海利真,长沙,8千-1.6万,本科,民营,1000-9999人,销售管理,3-5年,"五险一金,带薪年假,员工旅游,节日福利,绩效奖金,定期体检,不加班,定期团建"
招商总监,湖南序纳餐饮管理有限公司,长沙,1.5万-2万,本科,民营,100-299人,销售管理,3-5年,"五险一金,全勤奖,绩效奖金,带薪年假,通讯补助"
物联网销售经理,四川猎晟人力资源有限公司,长沙,1.5万-2万,本科,民营,20-99人,销售业务,3-5年,
销售经理----长沙,南京科捷分析仪器有限公司,长沙,1万-2万,本科,民营,100-299人,销售管理,3-5年,"五险一金,餐补,带薪年假,节日福利"
销售经理,湖南航天环宇通信科技股份有限公司,长沙,1万-1.5万,本科,民营,500-999人,销售管理,3-5年,"包吃,五险一金,绩效奖金,加班补助,通讯补助,定期体检,节日福利"
办事处经理,上海爱数,长沙,1.5万-2万,本科,民营,1000-9999人,销售管理,3-5年,"五险一金,交通补助,餐补,通讯补助,带薪年假,弹性工作"
大客户经理（福建）,三一集团,长沙,1.2万-2万,本科,民营,10000人以上,销售业务,3-5年,"五险一金,绩效奖金,餐补,节日福利,带薪年假,股票期权,年终分红,弹性工作"
测智科技市场部负责人,湖南中大检测技术集团有限公司,长沙,8千-1.6万,本科,民营,1000-9999人,销售管理,3-5年,"五险一金,带薪年假,高温补贴,节日福利"
营销总监,长沙玖花行电子商务有限公司,长沙,1万-1.5万,本科,民营,20-99人,销售管理,3-5年,"带薪年假,节日福利,周末双休,定期团建,公司重点项目,五险,餐补"
信息化项目拓展经理,湖南国富金和信息科技有限公司,长沙,6千-8千,本科,民营,20-99人,销售管理,3-5年,"五险一金,年底双薪,绩效奖金,带薪年假,周末双休,项目奖金,定期团建,公司重点项目"
电销副经理/经理,编程猫,长沙,1.2万-2万,本科,民营,1000-9999人,销售管理,3-5年,"五险一金,餐补,节日福利,带薪年假,弹性工作,大牛带队,定期团建"
录播销售,视源股份,长沙,1.2万-2万,本科,民营,1000-9999人,销售业务,3-5年,"五险一金,年底双薪,绩效奖金,股票期权,餐补,房补,定期体检,员工旅游"
班主任管理（长沙）,字节跳动,长沙,1.5万-3万,本科,民营,10000人以上,销售业务,3-5年,"五险一金,弹性工作"
销售经理,长沙丰收办公用品经营有限公司,长沙,2万-3万,本科,民营,20-99人,销售管理,3-5年,
渠道部总监,湖南麓明暖通设备有限公司,长沙,1.5万-2万,本科,民营,20-99人,销售管理,3-5年,"餐补,交通补助,带薪年假,五险,公司重点项目"
营销总监,湖南开卷文化传媒有限公司,长沙,6千-8千,本科,民营,20-99人,销售管理,3-5年,"绩效奖金,节日福利,五险一金,弹性工作,加班补助,周末双休,定期团建"
2020大客户经理（长沙）(J12866),北森,长沙,1万-1.5万,本科,民营,1000-9999人,销售业务,3-5年,"餐补,弹性工作,补充医疗保险,定期体检,节日福利,周末双休,八险一金,包住"
销售经理----长沙,南京科捷分析仪器有限公司,长沙,1万-2万,本科,民营,100-299人,销售管理,3-5年,"五险一金,餐补,带薪年假,节日福利"
招商总监,湖南序纳餐饮管理有限公司,长沙,1.5万-2万,本科,民营,100-299人,销售管理,3-5年,"五险一金,全勤奖,绩效奖金,带薪年假,通讯补助"
销售支持经理,土流集团有限公司,长沙,5千-8千,本科,民营,100-299人,销售管理,3-5年,"五险一金,绩效奖金,加班补助,节日福利,带薪年假,定期体检,交通补助"
销售代表（铁路电力方向）,四川联畅铁路工程有限公司,长沙,7千-1万,本科,民营,100-299人,销售业务,3-5年,"五险一金,年底双薪,餐补,员工旅游,节日福利,周末双休"
商务经理,湖南安智教育网络科技有限公司,长沙,8千-1.3万,本科,民营,100-299人,销售业务,3-5年,"周末双休,节日福利,带薪年假,五险,绩效奖金,年终奖励,工龄补贴,生病慰问"
大客户经理,浙江乔治白服饰股份有限公司湖南分公司,长沙,1.2万-2万,本科,民营,10000人以上,销售业务,3-5年,"五险一金,年底双薪,绩效奖金,餐补,定期体检,员工旅游,带薪年假"
销售经理,沈阳通用软件有限公司,长沙,1万-2万,本科,民营,100-299人,销售管理,3-5年,"五险一金,绩效奖金,交通补助,节日福利,带薪年假,定期体检,餐补,股票期权"
门店业务经理,方太集团,长沙,8千-1.2万,本科,民营,10000人以上,销售管理,3-5年,"五险一金,定期体检,带薪年假,身股分红,绩效奖金,周末双休,高温补贴"
区域各行业主管/资深销售经理-长沙,迪普科技,长沙,1万-2万,本科,民营,1000-9999人,销售业务,3-5年,"五险一金,带薪年假,节日福利,定期体检"
亚马逊推广主管,深圳市众思阁科技有限公司,长沙,1万-1.5万,本科,民营,100-299人,销售业务,3-5年,"五险一金,绩效奖金,每年多次调薪,带团队,定期团建,大牛带队,节日福利,股票期权"
业务经理,长沙市泰思德生物科技有限公司,长沙,1万-2万,本科,民营,20-99人,销售业务,3-5年,"五险一金,绩效奖金,带团队,节日福利,员工旅游"
销售工程师,上海华汉实业有限公司,长沙,4千-8千,本科,民营,20-99人,销售业务,3-5年,
销售经理,湖南喜麦图营养食品有限公司,长沙,1万-1.5万,本科,民营,100-299人,销售管理,3-5年,
渠道经理,湖南康之源科技有限公司,长沙,7千-1.4万,本科,民营,20-99人,销售业务,3-5年,"带薪年假,节日福利,五险,高温补贴,公司重点项目,补充医疗保险"
大客户销售经理,湖南晨宇能源管理有限公司,长沙,4千-8千,本科,民营,20-99人,销售业务,3-5年,"五险一金,节日福利,绩效奖金,带薪年假,定期体检,全勤奖,员工旅游,周末双休"
推广经理--品牌直营办,湖北红珊瑚医药有限公司,长沙,6千-8千,本科,民营,100-299人,销售业务,3-5年,"五险一金,绩效奖金,全勤奖,带薪年假,弹性工作,定期体检,员工旅游,节日福利"
大客户经理（国际）,湖南星邦智能装备股份有限公司,长沙,1万-2万,本科,民营,500-999人,销售业务,3-5年,"六险一金,带薪年假,节日福利,加班补助,14薪,提供食宿,员工旅游,免费班车"
行业销售代表,湖南奥通智能科技有限公司,长沙,6千-8千,本科,民营,20-99人,销售业务,3-5年,"周末双休,五险一金,带薪年假,节日福利,绩效奖金,餐补"
招商经理,湖南群慧会计咨询有限公司,长沙,8千-1.3万,本科,民营,100-299人,销售管理,3-5年,"绩效奖金,全勤奖,节日福利,带薪年假,员工旅游,五险一金"
高级行业经理,上海爱数,长沙,1.5万-2万,本科,民营,1000-9999人,销售业务,3-5年,"五险一金,餐补,通讯补助,带薪年假,弹性工作,定期体检,年底双薪,绩效奖金"
营销经理,湖南神州光大科技有限公司,长沙,1万-1.5万,本科,民营,100-299人,销售业务,3-5年,"五险一金,年终分红,包吃,周末双休"
大客户经理,湖南出头科技有限公司,长沙,8千-1万,本科,民营,500-999人,销售业务,3-5年,"五险一金,餐补,带薪年假,员工旅游,节日福利,通讯补助"
渠道销售经理(10-25K底薪+提成+绩效+五险一金）,上海利真汽车服务咨询有限公司长沙分公司,长沙,2万-4万,本科,民营,100-299人,销售管理,3-5年,"五险一金,年底双薪,绩效奖金,带薪年假,员工旅游,节日福利"
信息流广告销售经理,长沙掌控信息科技有限公司,长沙,1万-1.5万,本科,民营,100-299人,广告/会展,3-5年,"每年多次调薪,绩效奖金,全勤奖,带薪年假,定期体检,员工旅游,节日福利,五险一金"
市场开发总监（医美）,湖南景谊美业生物科技集团有限公司,长沙,1万-1.5万,本科,民营,100-299人,销售管理,3-5年,"五险一金,年底双薪,绩效奖金,年终分红,房补,通讯补助,带薪年假"
海外销售经理,泰科天润半导体科技(北京)有限公司,长沙,6千-1.2万,本科,民营,100-299人,销售业务,3-5年,"五险一金,餐补,绩效奖金,年底双薪,带薪年假,定期团建,加班补助,通讯补助"
外贸销售主管,湖南麒麟创新科技有限公司,长沙,6千-1.2万,本科,民营,20-99人,销售管理,3-5年,"五险一金,餐补,员工旅游,定期团建,节日福利,带薪年假,周末双休,定期体检"
大客户部主管,湖南恒乐数字科技有限公司,长沙,2万-3万,本科,民营,20-99人,销售管理,3-5年,"节日福利,员工旅游,五险,包吃"
客户经理,湖南砺石科技有限公司,长沙,1.5万-2.5万,本科,民营,100-299人,销售管理,3-5年,"五险一金,年终分红,股票期权,交通补助,通讯补助,补充医疗保险,定期体检,周末双休"
业务管理岗,银泰证券,长沙,4千-8千,本科,民营,1000-9999人,销售管理,3-5年,"五险一金,绩效奖金,餐补,采暖补贴,员工旅游,定期体检,带薪年假,弹性工作"
销售经理,湖南航天环宇通信科技股份有限公司,长沙,1万-1.5万,本科,民营,500-999人,销售管理,3-5年,"包吃,五险一金,绩效奖金,加班补助,通讯补助,定期体检,节日福利"
大客户经理（福建）,三一集团,长沙,1.2万-2万,本科,民营,10000人以上,销售业务,3-5年,"五险一金,绩效奖金,餐补,节日福利,带薪年假,股票期权,年终分红,弹性工作"
办事处经理,上海爱数,长沙,1.5万-2万,本科,民营,1000-9999人,销售管理,3-5年,"五险一金,交通补助,餐补,通讯补助,带薪年假,弹性工作"
物联网销售经理,四川猎晟人力资源有限公司,长沙,1.5万-2万,本科,民营,20-99人,销售业务,3-5年,
测智科技市场部负责人,湖南中大检测技术集团有限公司,长沙,8千-1.6万,本科,民营,1000-9999人,销售管理,3-5年,"五险一金,带薪年假,高温补贴,节日福利"
信息化项目拓展经理,湖南国富金和信息科技有限公司,长沙,6千-8千,本科,民营,20-99人,销售管理,3-5年,"五险一金,年底双薪,绩效奖金,带薪年假,周末双休,项目奖金,定期团建,公司重点项目"
营销代表,北京三一智造科技有限公司,长沙,2万-3万,本科,民营,500-999人,销售业务,3-5年,"五险一金,年底双薪,包住,通讯补助,交通补助,带薪年假,绩效奖金"
飞猪-未来酒店-连锁酒店-商务拓展/BD-长沙(J10279),浙江未来酒店网络技术有限公司,长沙,1万-1.5万,本科,民营,100-299人,销售业务,3-5年,"五险一金,绩效奖金,餐补,交通补助,带薪年假,弹性工作,节日福利,定期体检"
 4s店渠道销售经理（10-25k无责底薪+团队提成+五险一金）,上海利真汽车服务咨询有限公司长沙分公司,长沙,2万-4万,本科,民营,100-299人,销售管理,3-5年,"五险一金,年底双薪,绩效奖金,带薪年假,员工旅游,节日福利"
内贸总经理,湖南山水检测有限公司,长沙,3万-5万,本科,民营,20-99人,销售管理,3-5年,"绩效奖金,定期体检,提供住宿,生日福利,节日福利,周末双休,五险一金"
网销经理,湖南时刻知道网络科技有限公司,长沙,8千-1.2万,本科,民营,20-99人,销售管理,3-5年,"五险一金,年底双薪,绩效奖金,交通补助,全勤奖,带薪年假"
区域经理,北京三立正原科技发展有限公司,长沙,8千-1万,本科,民营,20人以下,销售管理,3-5年,五险一金
片区运营总监,长沙市天心区小新星英语培训学校,长沙,1.5万-2.5万,本科,民营,500-999人,销售管理,3-5年,"餐补,节日福利,定期团建,五险一金"
销售工程师-长沙/市场拓展~疫情期间视频初面,北京迪文科技有限公司,长沙,8千-1.5万,本科,民营,500-999人,销售业务,3-5年,"员工旅游,节日福利,带薪年假,定期体检,周末双休,绩效奖金,五险一金,通讯补助"
银保客户经理,湖南正唐网络科技有限公司,长沙,8千-1.5万,本科,民营,不限,销售业务,3-5年,
临床销售代表,人和未来生物科技(长沙)有限公司,长沙,6千-1万,本科,民营,100-299人,销售业务,3-5年,"五险一金,带薪年假,员工旅游,周末双休,节日福利,定期体检,绩效奖金,包住"
基金销售经理,湖南蒲公英私募股权基金管理有限公司,长沙,6千-1.2万,本科,民营,20人以下,销售管理,3-5年,"周末双休,五险一金,绩效奖金,年终分红,创业公司,带薪年假"
销售代表（铁路信号方向）,四川联畅铁路工程有限公司,长沙,7千-1万,本科,民营,100-299人,销售业务,3-5年,"五险一金,年底双薪,餐补,员工旅游,节日福利,周末双休"
区域大客户销售,北京凯尔科技发展有限公司,长沙,4千-8千,本科,民营,100-299人,销售业务,3-5年,"五险一金,带薪年假,节日福利,弹性工作,项目奖金,周末双休"
区域销售经理,辽宁向日葵教育科技有限公司,长沙,6千-8千,本科,民营,1000-9999人,销售管理,3-5年,"周末双休,五险一金,交通补助,餐补,免费班车,节日福利,高温补贴,员工旅游"
KA、流通 市场经理,湖南唐人神肉制品有限公司,长沙,1万-1.5万,本科,民营,100-299人,销售管理,3-5年,"五险一金,餐补,房补,交通补助,通讯补助,绩效奖金,免费班车"
招商经理,步步高集团,长沙,6千-8千,本科,民营,10000人以上,销售业务,3-5年,"年底双薪,五险一金,带薪年假,高温补贴,节日福利,绩效奖金"
大客户销售经理,浙江保融科技有限公司,长沙,9千-1.6万,本科,民营,500-999人,销售业务,3-5年,"五险一金,年底双薪,交通补助,餐补,通讯补助,定期体检,员工旅游,节日福利"
异业经理,长沙顶域人力资源有限公司,长沙,8千-1万,本科,民营,20人以下,销售业务,3-5年,薪资可谈
海外业务部副总监,联拍在线(湖南)网络科技有限公司,长沙,1万-1.5万,本科,民营,20-99人,销售管理,3-5年,"五险一金,餐补,绩效奖金"
销售总监,合肥盛鹏软件有限公司,长沙,2.5万-5万,本科,民营,20-99人,销售管理,3-5年,五险一金
招商经理,湖南云台山茶旅集团文化有限公司,长沙,6千-1万,本科,民营,500-999人,销售业务,3-5年,"包吃,包住,五险一金,年底双薪,带薪年假,弹性工作,节日福利,员工旅游"
出口业务中心经理,湖南高桥大市场股份有限公司,长沙,1万-1.5万,本科,民营,500-999人,销售业务,3-5年,"五险一金,绩效奖金,包吃,带薪年假,定期体检,员工旅游,节日福利,免费停车"
销售主管,湖南大立立言教育管理有限公司,长沙,5千-1万,本科,民营,100-299人,销售管理,3-5年,"带薪年假,弹性工作,节日福利,周末大小休,全勤奖,五险一金,绩效奖金,年底双薪"
大客户销售（建筑）,震坤行工业超市,长沙,1.3万-2.5万,本科,民营,1000-9999人,销售业务,3-5年,"五险一金,绩效奖金,交通补助,餐补,通讯补助,弹性工作,带薪年假,每年多次调薪"
业务主管销售主管,湖南佳宇信息技术有限公司,长沙,6千-8千,本科,民营,20人以下,销售管理,3-5年,"周末双休,五险一金,节日福利,年底双薪,餐补"
营销总监,长沙玖花行电子商务有限公司,长沙,1万-1.5万,本科,民营,20-99人,销售管理,3-5年,"带薪年假,节日福利,周末双休,定期团建,公司重点项目,五险,餐补"
市场开发总监（医美）,湖南景谊美业生物科技集团有限公司,长沙,1万-1.5万,本科,民营,100-299人,销售管理,3-5年,"五险一金,年底双薪,绩效奖金,年终分红,房补,通讯补助,带薪年假"
大客户经理,湖南出头科技有限公司,长沙,8千-1万,本科,民营,500-999人,销售业务,3-5年,"五险一金,餐补,带薪年假,员工旅游,节日福利,通讯补助"
信息流广告销售经理,长沙掌控信息科技有限公司,长沙,1万-1.5万,本科,民营,100-299人,广告/会展,3-5年,"每年多次调薪,绩效奖金,全勤奖,带薪年假,定期体检,员工旅游,节日福利,五险一金"
渠道销售经理(10-25K底薪+提成+绩效+五险一金）,上海利真汽车服务咨询有限公司长沙分公司,长沙,2万-4万,本科,民营,100-299人,销售管理,3-5年,"五险一金,年底双薪,绩效奖金,带薪年假,员工旅游,节日福利"
高级行业经理,上海爱数,长沙,1.5万-2万,本科,民营,1000-9999人,销售业务,3-5年,"五险一金,餐补,通讯补助,带薪年假,弹性工作,定期体检,年底双薪,绩效奖金"
营销经理,湖南神州光大科技有限公司,长沙,1万-1.5万,本科,民营,100-299人,销售业务,3-5年,"五险一金,年终分红,包吃,周末双休"
海外销售经理,泰科天润半导体科技(北京)有限公司,长沙,6千-1.2万,本科,民营,100-299人,销售业务,3-5年,"五险一金,餐补,绩效奖金,年底双薪,带薪年假,定期团建,加班补助,通讯补助"
外贸销售主管,湖南麒麟创新科技有限公司,长沙,6千-1.2万,本科,民营,20-99人,销售管理,3-5年,"五险一金,餐补,员工旅游,定期团建,节日福利,带薪年假,周末双休,定期体检"
IDC销售经理,湖南芙蓉云通信息科技有限公司,长沙,1.3万-2.5万,本科,民营,100-299人,销售管理,3-5年,"五险一金,绩效奖金,项目奖金,创业公司"
大客户销售经理,亚信科技,长沙,1万-1.5万,本科,民营,10000人以上,销售业务,3-5年,"五险一金,年底双薪,定期体检,弹性工作,节日福利,周末双休"
OTT 广告销售经理：8 千-1 万,湖南秉骏文化传媒有限公司,长沙,8千-1万,本科,民营,20-99人,销售管理,3-5年,"周末双休,节日福利,不加班,绩效奖金,五险,项目奖金"
行业客户销售,湖南天泓科技有限公司,长沙,8千-1万,本科,民营,20-99人,销售业务,3-5年,"五险一金,带薪年假,弹性工作,员工旅游,周末双休"
销售主管,北京天月羲和文化传播有限责任公司,长沙,6千-1万,本科,民营,100-299人,销售管理,3-5年,
省区经理,武汉人福药业有限责任公司,长沙,1万-2万,本科,民营,500-999人,销售管理,3-5年,"五险一金,租房补贴,绩效奖金,交通补助,通讯补助,补充医疗保险,餐补,定期团建"
大客户销售经理,湖南易净环保科技有限公司,长沙,6千-1万,本科,民营,300-499人,销售业务,3-5年,"绩效奖金,通讯补助,弹性工作,节日福利,五险,周末双休,餐补,交通补助"
大客户销售经理,长沙通视电子科技有限公司,长沙,8千-1万,本科,民营,20-99人,销售管理,3-5年,"带薪年假,节日福利,绩效奖金,五险,包吃,定期团建,加班补助,交通补助"
大客户经理,长沙瑞和数码科技有限公司,长沙,6千-1.2万,本科,民营,20-99人,销售业务,3-5年,"绩效奖金,加班补助,交通补助,通讯补助,周末双休,五险一金,年底双薪"
城市经理/客户经理,成都路行通信息技术有限公司,长沙,1.5万-2.5万,本科,民营,1000-9999人,销售管理,3-5年,"绩效奖金,带薪年假,弹性工作,员工旅游,节日福利,年底双薪,五险"
销售经理（团购）,多喜爱家居用品有限公司,长沙,6千-1万,本科,民营,1000-9999人,销售业务,3-5年,"五险一金,节日福利,包住,周末双休,免费停车,工作餐,带薪年假"
商务渠道（新征程）,湖南西米发展集团有限公司,长沙,6千-1万,本科,民营,20-99人,销售业务,3-5年,"五险一金,周末双休,带薪年假,定期体检,定期团建,节假日福利,生日福利,退役军人补贴"
销售经理-高压注射器及针筒,长春市医用高分子有限公司,长沙,5千-1万,本科,民营,100-299人,销售管理,3-5年,"弹性工作,节日福利,员工旅游,绩效奖金"
区域销售经理—长沙,深圳因赛德思医疗科技有限公司,长沙,1万-1.5万,本科,民营,100-299人,销售管理,3-5年,"五险一金,绩效奖金,全勤奖,年终分红,股票期权,餐补,带薪年假,定期体检"
大客户销售专业总监,宝能汽车销售有限公司,长沙,面议,本科,民营,10000人以上,销售管理,3-5年,"五险一金,餐补,加班补助,带薪年假,全额公积金,定期体检,高温补贴,节日福利"
行业总监,湖南醴智信息科技有限公司,长沙,8千-1.5万,本科,民营,20人以下,销售管理,3-5年,"五险一金,年底双薪,绩效奖金,带薪年假,节日福利,周末双休,大牛带队"
销售工程师,长沙万为机器人有限公司,长沙,6千-1万,本科,民营,20-99人,销售业务,3-5年,"五险一金,绩效奖金,加班补助,全勤奖,弹性工作,节日福利,创业公司"
物业市场拓展经理-中梁现代服务-中部区域平台,上海中梁物业发展有限公司长沙分公司,长沙,1万-1.5万,本科,民营,1000-9999人,销售业务,3-5年,"五险一金,绩效奖金,餐补,交通补助,通讯补助,带薪年假,节日福利,每年多次调薪"
异业经理,长沙顶域人力资源有限公司,长沙,1.2万-1.8万,本科,民营,20人以下,销售业务,3-5年,"五险一金,年底双薪,包吃,包住,定期体检,补充医疗保险"
